stage,run_id,repeat,profile,runners,intra_threads,interop_threads,pre_workers,post_workers,slots_per_runner,total_slots,cpu_cores,pin,iterations,status,result_dir,mode,batch,workers,slots,completed,wall_s,throughput_fps,equiv_fps_avg,equiv_fps_min,equiv_fps_max,equiv_fps_p95,equiv_fps_p99,completion_fps_avg,completion_fps_min,completion_fps_max,completion_fps_p95,completion_fps_p99,latency_mean_ms,latency_median_ms,latency_min_ms,latency_max_ms,latency_p90_ms,latency_p95_ms,latency_p99_ms,latency_stddev_ms,latency_cv,latency_p99_minus_p50_ms,model_mean_ms,model_p95_ms,model_p99_ms,preprocess_mean_ms,preprocess_p95_ms,preprocess_p99_ms,postprocess_mean_ms,postprocess_p95_ms,postprocess_p99_ms,inter_completion_mean_ms,inter_completion_p95_ms,inter_completion_p99_ms
10_two_core,10_two_core__model-only__r1_i2_pre1_post1_spr1_c2_nopin__rep1__n90,1,model-only,1,2,1,0,0,1,1,2,False,90,ok,/media/thifj/nvme21/Trabalhos_mes8/Projeto_Metano/resultados_cpu/hyperstarcop_cpu_sweep/runs/10_two_core__model-only__r1_i2_pre1_post1_spr1_c2_nopin__rep1__n90,max_model_only_throughput,1,1,1,90,23.873058959000446,3.769940004528362,3.770266620499549,2.703961206637719,4.136465898256691,3.3756105829784175,2.75274975740856,3.769940004528362,2.7037903937320786,4.136173810993786,3.371139507736927,2.7520429450412576,265.2332316666515,260.9442175003096,241.75226500028657,369.8277909998069,282.9835520000415,296.24270199960847,363.2731225599673,21.682594346362453,0.0817491617099226,102.3289050596577,265.2332316666515,296.24270199960847,363.2731225599673,0.0,0.0,0.0,0.0,0.0,0.0,265.0552128988739,296.6356027998699,363.3664226795009
10_two_core,10_two_core__model-only__r2_i1_pre1_post1_spr1_c2_pin__rep1__n90,1,model-only,2,1,1,0,0,1,2,2,True,90,ok,/media/thifj/nvme21/Trabalhos_mes8/Projeto_Metano/resultados_cpu/hyperstarcop_cpu_sweep/runs/10_two_core__model-only__r2_i1_pre1_post1_spr1_c2_pin__rep1__n90,max_model_only_throughput,1,2,2,90,26.121960555999976,3.4453769198165265,1.7331117470342912,1.4925659952041759,1.9946362873913484,1.589228219520206,1.503302645645335,3.4453769198165265,1.5983036270191862,166.7406717396405,1.7991184759155978,1.6418889555752292,576.9968391889355,576.12794150009,501.3445339991449,669.9871250002616,608.2350063001286,629.236246699611,665.2020488999551,30.089890441620227,0.052149142591346856,89.07410739986517,576.9968391889355,629.236246699611,665.2020488999551,0.0,0.0,0.0,0.0,0.0,0.0,286.97840689887363,555.8277642005123,609.0545871597352
10_two_core,10_two_core__end-to-end__r1_i2_pre1_post1_spr1_c2_nopin__rep1__n90,1,end-to-end,1,2,1,1,1,1,1,2,False,90,ok,/media/thifj/nvme21/Trabalhos_mes8/Projeto_Metano/resultados_cpu/hyperstarcop_cpu_sweep/runs/10_two_core__end-to-end__r1_i2_pre1_post1_spr1_c2_nopin__rep1__n90,max_end_to_end_throughput,1,1,1,90,25.42104457900041,3.5403737922849325,1.8211747693216256,1.6795663774818714,3.252400734403899,1.6937780375948621,1.6855360764840355,3.5403737922849325,3.112084053705231,3.765552810996619,3.2638056691906376,3.1755610092889084,549.0961201776877,546.1539200005063,307.4651869992522,595.391770999413,579.742229599924,590.3961309003535,593.2830592899336,32.07399420483976,0.058412348997222203,47.12913928942726,267.74555090001337,287.8398472997105,298.88558675006607,12.051374522201918,15.460312099685325,20.32717866017265,1.702115033337274,15.970496749923768,18.044395450624506,282.17368149438533,306.3907907997418,314.9049875202764
10_two_core,10_two_core__end-to-end__r2_i1_pre1_post1_spr1_c2_pin__rep1__n90,1,end-to-end,2,1,1,1,1,1,2,2,True,90,ok,/media/thifj/nvme21/Trabalhos_mes8/Projeto_Metano/resultados_cpu/hyperstarcop_cpu_sweep/runs/10_two_core__end-to-end__r2_i1_pre1_post1_spr1_c2_pin__rep1__n90,max_end_to_end_throughput,1,2,2,90,25.884978072000195,3.476920078883632,1.1993922167417086,0.8981832403582288,1.8881601648030137,0.9784671354411868,0.9329542789440988,3.476920078883632,1.8587992655670356,22.21730281756141,2.211946911871707,2.0192361693663536,833.7556189222394,827.0789375001186,529.6160879997842,1113.3585610004957,999.1183075999289,1022.0067325501986,1071.863887190466,116.52725768582422,0.13976188590663302,244.78494969034728,550.6165858333084,586.1255889496988,597.6795425700402,18.447163722208238,27.497336500073285,30.663416000124926,0.5277580666996882,0.753397599874006,1.5082289996462335,284.70655073034436,452.090416199826,495.2367708002205
20_model_search,20_model_search__model-only__r1_i1_pre1_post1_spr1_c1_nopin__rep1__n90,1,model-only,1,1,1,0,0,1,1,1,False,90,ok,/media/thifj/nvme21/Trabalhos_mes8/Projeto_Metano/resultados_cpu/hyperstarcop_cpu_sweep/runs/20_model_search__model-only__r1_i1_pre1_post1_spr1_c1_nopin__rep1__n90,max_model_only_throughput,1,1,1,90,42.99974050499986,2.0930358867987846,2.093189095242892,1.8015306049032063,2.2974563408862774,1.9220366935317614,1.8022537668455143,2.0930358867987846,1.801452894457936,2.2973544424396315,1.9214233365464402,1.8021858177920518,477.7399243444658,470.1177620004273,435.26398399990285,555.0835479998568,512.0681522997984,520.2814303001105,554.8608183798115,24.891383053212227,0.05210237157249755,84.74305637938414,477.7399243444658,520.2814303001105,554.8608183798115,0.0,0.0,0.0,0.0,0.0,0.0,477.55185793258545,520.4475145999822,554.8817386795054
20_model_search,20_model_search__model-only__r1_i1_pre1_post1_spr1_c1_pin__rep1__n90,1,model-only,1,1,1,0,0,1,1,1,True,90,ok,/media/thifj/nvme21/Trabalhos_mes8/Projeto_Metano/resultados_cpu/hyperstarcop_cpu_sweep/runs/20_model_search__model-only__r1_i1_pre1_post1_spr1_c1_pin__rep1__n90,max_model_only_throughput,1,1,1,90,44.229820788000325,2.0348262415844394,2.0349778887695034,1.7074014900135883,2.247655124236248,1.872975227271979,1.7617665286089057,2.0348262415844394,1.707349122610123,2.2475735381468676,1.8726514448561185,1.761081782858065,491.4058307555731,490.5808835001153,444.9081130005652,585.6853270006468,527.7451896999992,533.9098912997997,567.6121005599998,27.68524092365914,0.05633885312490293,77.03121705988451,491.4058307555731,533.9098912997997,567.6121005599998,0.0,0.0,0.0,0.0,0.0,0.0,491.1086132134811,534.0022045997102,567.8328001196497
20_model_search,20_model_search__model-only__r1_i2_pre1_post1_spr1_c2_nopin__rep1__n90,1,model-only,1,2,1,0,0,1,1,2,False,90,ok,/media/thifj/nvme21/Trabalhos_mes8/Projeto_Metano/resultados_cpu/hyperstarcop_cpu_sweep/runs/20_model_search__model-only__r1_i2_pre1_post1_spr1_c2_nopin__rep1__n90,max_model_only_throughput,1,1,1,90,27.57660734199999,3.2636356925214414,3.2638426561367124,2.5391611523615114,3.453315929036232,2.608910676208501,2.548601088114252,3.2636356925214414,2.539035848057651,3.453108761654445,2.6084713467736194,2.5483495054076113,306.3873186778134,293.60410350000166,289.57674899993435,393.8308520000646,360.1521494003465,383.3017393501905,392.37211530028617,29.15290797003332,0.09515050458302268,98.76801180028451,306.3873186778134,383.3017393501905,392.37211530028617,0.0,0.0,0.0,0.0,0.0,0.0,306.3051138764054,383.3662966000702,392.41085176032357
20_model_search,20_model_search__model-only__r2_i1_pre1_post1_spr1_c2_pin__rep1__n90,1,model-only,2,1,1,0,0,1,2,2,True,90,ok,/media/thifj/nvme21/Trabalhos_mes8/Projeto_Metano/resultados_cpu/hyperstarcop_cpu_sweep/runs/20_model_search__model-only__r2_i1_pre1_post1_spr1_c2_pin__rep1__n90,max_model_only_throughput,1,2,2,90,23.731786397000178,3.792382018547768,1.91327705313097,1.6579945950211668,2.2889150469649295,1.76194009605977,1.6657319552271008,3.792382018547768,1.837379720277762,141.78639227074916,1.9394059521434366,1.8384209923460295,522.6634576333607,517.644077499881,436.88821100022324,603.1382749997647,557.0584469998721,567.5561855004617,600.3366849402028,26.623609027699214,0.05093834022422744,82.69260744032181,522.6634576333607,567.5561855004617,600.3366849402028,0.0,0.0,0.0,0.0,0.0,0.0,260.5052488426961,515.6218062003973,543.9450507600486
20_model_search,20_model_search__model-only__r1_i4_pre1_post1_spr1_c4_nopin__rep1__n90,1,model-only,1,4,1,0,0,1,1,4,False,90,ok,/media/thifj/nvme21/Trabalhos_mes8/Projeto_Metano/resultados_cpu/hyperstarcop_cpu_sweep/runs/20_model_search__model-only__r1_i4_pre1_post1_spr1_c4_nopin__rep1__n90,max_model_only_throughput,1,1,1,90,18.38805393199982,4.8944820551878765,4.894935151345739,3.463005433254156,5.406821641965536,4.465148483635401,4.098890070741034,4.8944820551878765,3.4627652779862266,5.406286600896481,4.464236476149873,4.0901356015719355,204.29279838877443,206.02932799965856,184.95154199990793,288.7665120006204,221.54082720007864,223.9567180497943,243.96848481940648,16.50573310973897,0.08079449319759249,37.93915681974792,204.29279838877443,223.9567180497943,243.96848481940648,0.0,0.0,0.0,0.0,0.0,0.0,204.1256825730343,224.00247059995309,244.49067156005208
20_model_search,20_model_search__model-only__r4_i1_pre1_post1_spr1_c4_pin__rep1__n90,1,model-only,4,1,1,0,0,1,4,4,True,90,ok,/media/thifj/nvme21/Trabalhos_mes8/Projeto_Metano/resultados_cpu/hyperstarcop_cpu_sweep/runs/20_model_search__model-only__r4_i1_pre1_post1_spr1_c4_pin__rep1__n90,max_model_only_throughput,1,4,4,90,15.974988275000214,5.633806951886404,1.4236326498375533,1.046013066698782,1.7585358936620366,1.2267646424765448,1.1309965637186086,5.633806951886404,1.7013256734754536,292.90759407946905,2.599397823604609,2.124529394657758,702.4283969000761,695.117164000294,568.654869999591,956.0110020001957,771.7433243004053,815.1522838001256,884.1759843302225,60.35266161697652,0.08592001958252547,189.0588203299285,702.4283969000761,815.1522838001256,884.1759843302225,0.0,0.0,0.0,0.0,0.0,0.0,171.5655767752804,384.7044845999335,470.6924754793005
20_model_search,20_model_search__model-only__r1_i8_pre1_post1_spr1_c8_nopin__rep1__n90,1,model-only,1,8,1,0,0,1,1,8,False,90,ok,/media/thifj/nvme21/Trabalhos_mes8/Projeto_Metano/resultados_cpu/hyperstarcop_cpu_sweep/runs/20_model_search__model-only__r1_i8_pre1_post1_spr1_c8_nopin__rep1__n90,max_model_only_throughput,1,1,1,90,17.64823727000021,5.099659451711289,5.100156521000175,0.6834638669696359,6.438139828772757,5.1198714910600325,0.8701011263622207,5.099659451711289,0.683455648976048,6.437462156998388,5.143086667934989,0.86742646722059,196.07241383327062,171.28829400007817,155.3243680000378,1463.13513899986,188.86845230008478,195.3174023500651,1149.2916969098403,166.86080570365795,0.8510162263088542,978.0034029097621,196.07241383327062,195.3174023500651,1149.2916969098403,0.0,0.0,0.0,0.0,0.0,0.0,196.08316102247127,194.43576680023398,1152.8354711197624
