stage,run_id,repeat,profile,runners,pre_workers,post_workers,slots_per_runner,total_slots,pin,iterations,throughput_fps,latency_mean_ms,latency_p95_ms,latency_p99_ms,dpu_mean_ms,preprocess_mean_ms,postprocess_mean_ms,io_mean_ms,wall_s,status,result_dir
55_refine,55_refine__max_e2e__r3_pre4_post16_spr5_nopin__rep1__n90,1,max-e2e,3,4,16,5,15,false,90,20.9190863824,261.766487778,310.438543,327.7423981,44.5836866667,184.158270778,29.9481603333,138.489463,4.30229114,ok,"/home/root/hyperstarcop_sweep_results/runs/55_refine__max_e2e__r3_pre4_post16_spr5_nopin__rep1__n90"
55_refine,55_refine__max_e2e__r4_pre4_post8_spr2_nopin__rep1__n90,1,max-e2e,4,4,8,2,8,false,90,20.9008554822,262.665459556,312.5623265,325.8215363,46.7362247778,185.748007778,29.9676951111,140.076803889,4.30604384,ok,"/home/root/hyperstarcop_sweep_results/runs/55_refine__max_e2e__r4_pre4_post8_spr2_nopin__rep1__n90"
55_refine,55_refine__max_e2e__r3_pre4_post8_spr5_nopin__rep1__n90,1,max-e2e,3,4,8,5,15,false,90,20.8185542802,262.181706667,317.352477,338.4284578,44.9798551111,186.595074,28.9603957778,139.342099222,4.32306676,ok,"/home/root/hyperstarcop_sweep_results/runs/55_refine__max_e2e__r3_pre4_post8_spr5_nopin__rep1__n90"
50_slots,50_slots__max_e2e__r3_pre4_post16_spr2_nopin__rep1__n90,1,max-e2e,3,4,16,2,6,false,90,20.5467953824,263.689812222,314.2160905,326.4888507,44.7671288889,184.14756,28.832563,139.499972667,4.38024511,ok,"/home/root/hyperstarcop_sweep_results/runs/50_slots__max_e2e__r3_pre4_post16_spr2_nopin__rep1__n90"
40_post_workers,40_post_workers__max_e2e__r3_pre4_post16_spr2_nopin__rep1__n90,1,max-e2e,3,4,16,2,6,false,90,20.4918057982,262.816267444,318.237416,349.5701221,43.828031,180.555690556,28.7627513333,134.653392222,4.39199946,ok,"/home/root/hyperstarcop_sweep_results/runs/40_post_workers__max_e2e__r3_pre4_post16_spr2_nopin__rep1__n90"
55_refine,55_refine__max_e2e__r4_pre4_post16_spr2_nopin__rep1__n90,1,max-e2e,4,4,16,2,8,false,90,20.4685522709,262.139844778,315.166226,359.5465205,43.7431556667,187.825327667,29.6317916667,141.943286889,4.39698904,ok,"/home/root/hyperstarcop_sweep_results/runs/55_refine__max_e2e__r4_pre4_post16_spr2_nopin__rep1__n90"
55_refine,55_refine__max_e2e__r4_pre16_post8_spr2_nopin__rep1__n90,1,max-e2e,4,16,8,2,8,false,90,20.4555338752,800.048392556,990.007124,1018.9503904,46.347402,300.916057111,31.4267167778,228.377015778,4.39978739,ok,"/home/root/hyperstarcop_sweep_results/runs/55_refine__max_e2e__r4_pre16_post8_spr2_nopin__rep1__n90"
55_refine,55_refine__max_e2e__r3_pre4_post8_spr2_nopin__rep1__n90,1,max-e2e,3,4,8,2,6,false,90,20.152217897,265.534109556,330.269986,355.7183244,43.5277092222,186.407666556,28.0690123333,140.425781556,4.46600967,ok,"/home/root/hyperstarcop_sweep_results/runs/55_refine__max_e2e__r3_pre4_post8_spr2_nopin__rep1__n90"
55_refine,55_refine__max_e2e__r3_pre16_post8_spr5_nopin__rep1__n90,1,max-e2e,3,16,8,5,15,false,90,20.1373187933,844.469174889,1040.5443215,1196.0665054,46.3982341111,619.518723111,40.587635,484.723807667,4.46931396,ok,"/home/root/hyperstarcop_sweep_results/runs/55_refine__max_e2e__r3_pre16_post8_spr5_nopin__rep1__n90"
40_post_workers,40_post_workers__max_e2e__r3_pre4_post8_spr2_nopin__rep1__n90,1,max-e2e,3,4,8,2,6,false,90,20.1016200324,266.095623,334.7778695,355.1168858,42.6929253333,188.363522667,28.6615447778,141.714587333,4.47725108,ok,"/home/root/hyperstarcop_sweep_results/runs/40_post_workers__max_e2e__r3_pre4_post8_spr2_nopin__rep1__n90"
50_slots,50_slots__max_e2e__r3_pre4_post16_spr5_nopin__rep1__n90,1,max-e2e,3,4,16,5,15,false,90,20.0385208948,269.065188889,342.947933,429.3367941,44.0406188889,193.202060333,29.3589911111,146.294697667,4.49134946,ok,"/home/root/hyperstarcop_sweep_results/runs/50_slots__max_e2e__r3_pre4_post16_spr5_nopin__rep1__n90"
55_refine,55_refine__max_e2e__r3_pre16_post16_spr5_nopin__rep1__n90,1,max-e2e,3,16,16,5,15,false,90,19.9916227992,847.487211,1073.7747565,1332.0134192,46.3051926667,616.922937333,44.5972993333,491.153622556,4.50188566,ok,"/home/root/hyperstarcop_sweep_results/runs/55_refine__max_e2e__r3_pre16_post16_spr5_nopin__rep1__n90"
55_refine,55_refine__max_e2e__r4_pre16_post16_spr2_nopin__rep1__n90,1,max-e2e,4,16,16,2,8,false,90,19.979727015,822.262670667,1009.0879705,1040.6054139,49.1947792222,305.296593778,30.7585256667,235.207986333,4.50456605,ok,"/home/root/hyperstarcop_sweep_results/runs/55_refine__max_e2e__r4_pre16_post16_spr2_nopin__rep1__n90"
40_post_workers,40_post_workers__max_e2e__r3_pre4_post2_spr2_nopin__rep1__n90,1,max-e2e,3,4,2,2,6,false,90,19.8371134937,272.062171556,371.574244,391.2034389,45.4263563333,188.516737111,26.9527367778,141.432457778,4.5369504,ok,"/home/root/hyperstarcop_sweep_results/runs/40_post_workers__max_e2e__r3_pre4_post2_spr2_nopin__rep1__n90"
40_post_workers,40_post_workers__max_e2e__r3_pre4_post4_spr2_nopin__rep1__n90,1,max-e2e,3,4,4,2,6,false,90,19.7553435043,270.059719556,351.0662635,386.9920601,43.573736,189.393238,27.7361716667,141.864114778,4.55572944,ok,"/home/root/hyperstarcop_sweep_results/runs/40_post_workers__max_e2e__r3_pre4_post4_spr2_nopin__rep1__n90"
55_refine,55_refine__max_e2e__r3_pre4_post16_spr2_nopin__rep1__n90,1,max-e2e,3,4,16,2,6,false,90,19.4636170985,273.393032667,368.0606735,409.8051322,42.5526376667,193.560954,28.0786225556,146.251757444,4.62401205,ok,"/home/root/hyperstarcop_sweep_results/runs/55_refine__max_e2e__r3_pre4_post16_spr2_nopin__rep1__n90"
40_post_workers,40_post_workers__max_e2e__r3_pre4_post1_spr2_nopin__rep1__n90,1,max-e2e,3,4,1,2,6,false,90,19.3399336516,279.926793,395.1280705,429.0738176,43.1957312222,190.940164111,26.4660747778,143.376473667,4.6535837,ok,"/home/root/hyperstarcop_sweep_results/runs/40_post_workers__max_e2e__r3_pre4_post1_spr2_nopin__rep1__n90"
55_refine,55_refine__max_e2e__r3_pre16_post8_spr2_nopin__rep1__n90,1,max-e2e,3,16,8,2,6,false,90,19.3204369059,837.146865222,1011.528596,1069.2966785,44.8644024444,228.069297556,26.4305788889,169.841493667,4.65827975,ok,"/home/root/hyperstarcop_sweep_results/runs/55_refine__max_e2e__r3_pre16_post8_spr2_nopin__rep1__n90"
30_pre_workers,30_pre_workers__max_e2e__r3_pre4_post1_spr2_nopin__rep1__n90,1,max-e2e,3,4,1,2,6,false,90,19.3039268651,279.181945,429.9664875,452.3825871,43.6294266667,192.364768889,25.8418416667,144.433622333,4.66226383,ok,"/home/root/hyperstarcop_sweep_results/runs/30_pre_workers__max_e2e__r3_pre4_post1_spr2_nopin__rep1__n90"
30_pre_workers,30_pre_workers__max_e2e__r3_pre16_post1_spr2_nopin__rep1__n90,1,max-e2e,3,16,1,2,6,false,90,19.1073165726,845.982198889,1017.2111075,1055.1436681,43.3487375556,229.509592444,26.5126256667,171.968617,4.71023755,ok,"/home/root/hyperstarcop_sweep_results/runs/30_pre_workers__max_e2e__r3_pre16_post1_spr2_nopin__rep1__n90"
