id,candidate_id,qplume,name,folder,date,datetime,window_col_off,window_row_off,window_width,window_height,subset,difficulty,label_path,has_plume,window_labels
ang20191006t155231_r9497_c279_w151_h151,ang20191006t155231-F,332.4903373,ang20191006t155231,/AVIRISNG/Permian2019/ang20191006t155231_r9497_c279_w151_h151,2019-10-06,2019-10-06 15:52:31+00:00,0,0,512,512,train,hard,gs://starcop/Permian/permian_2019_official/ang20191006t155231-F_r9497_c279_ctr.tif,True,"Window(col_off=-180, row_off=-180, width=512, height=512)"
ang20191006t183904_r5393_c97_w151_h151,ang20191006t183904-A,924.8644422,ang20191006t183904,/AVIRISNG/Permian2019/ang20191006t183904_r5393_c97_w151_h151,2019-10-06,2019-10-06 18:39:04+00:00,0,0,512,512,train,hard,gs://starcop/Permian/permian_2019_official/ang20191006t183904-A_r5393_c97_ctr.tif,True,"Window(col_off=-180, row_off=-180, width=512, height=512)"
ang20191006t165608_r1510_c75_w151_h151,ang20191006t165608-R,70.86252512,ang20191006t165608,/AVIRISNG/Permian2019/ang20191006t165608_r1510_c75_w151_h151,2019-10-06,2019-10-06 16:56:08+00:00,0,0,512,512,train,hard,gs://starcop/Permian/permian_2019_official/ang20191006t165608-R_r1510_c75_ctr.tif,True,"Window(col_off=-180, row_off=-180, width=512, height=512)"
ang20191017t170330_r5120_c0_w512_h512,,0.0,ang20191017t170330,/AVIRISNG/Permian2019/ang20191017t170330_r5120_c0_w512_h512,2019-10-17,2019-10-17 17:03:30+00:00,0,0,512,512,train,hard,,False,"Window(col_off=0, row_off=0, width=512, height=512)"
ang20190927t170107_r6144_c256_w512_h512,,0.0,ang20190927t170107,/AVIRISNG/Permian2019/ang20190927t170107_r6144_c256_w512_h512,2019-09-27,2019-09-27 17:01:07+00:00,0,0,512,512,train,random,,False,"Window(col_off=0, row_off=0, width=512, height=512)"
ang20190927t154855_r8448_c256_w512_h512,,0.0,ang20190927t154855,/AVIRISNG/Permian2019/ang20190927t154855_r8448_c256_w512_h512,2019-09-27,2019-09-27 15:48:55+00:00,0,0,512,512,train,random,,False,"Window(col_off=0, row_off=0, width=512, height=512)"
ang20190928t181405_r2149_c243_w151_h151,ang20190928t181405-1,443.035536,ang20190928t181405,/AVIRISNG/Permian2019/ang20190928t181405_r2149_c243_w151_h151,2019-09-28,2019-09-28 18:14:05+00:00,0,0,512,512,train,hard,gs://starcop/Permian/permian_2019_official/ang20190928t181405-1_r2149_c243_ctr.tif,True,"Window(col_off=-180, row_off=-180, width=512, height=512)"
ang20190927t162514_r11008_c0_w512_h512,,0.0,ang20190927t162514,/AVIRISNG/Permian2019/ang20190927t162514_r11008_c0_w512_h512,2019-09-27,2019-09-27 16:25:14+00:00,0,0,512,512,train,random,,False,"Window(col_off=0, row_off=0, width=512, height=512)"
ang20191023t154154_r1280_c0_w512_h512,,0.0,ang20191023t154154,/AVIRISNG/Permian2019/ang20191023t154154_r1280_c0_w512_h512,2019-10-23,2019-10-23 15:41:54+00:00,0,0,512,512,train,hard,,False,"Window(col_off=0, row_off=0, width=512, height=512)"
ang20191017t164928_r283_c152_w151_h151,ang20191017t164928-B,212.4071546,ang20191017t164928,/AVIRISNG/Permian2019/ang20191017t164928_r283_c152_w151_h151,2019-10-17,2019-10-17 16:49:28+00:00,0,0,512,512,train,hard,gs://starcop/Permian/permian_2019_official/ang20191017t164928-B_r283_c152_ctr.tif,True,"Window(col_off=-180, row_off=-180, width=512, height=512)"
ang20191019t173905_r1636_c317_w151_h151,ang20191019t173905-2,359.71993,ang20191019t173905,/AVIRISNG/Permian2019/ang20191019t173905_r1636_c317_w151_h151,2019-10-19,2019-10-19 17:39:05+00:00,0,0,512,512,train,hard,gs://starcop/Permian/permian_2019_official/ang20191019t173905-2_r1636_c317_ctr.tif,True,"Window(col_off=-180, row_off=-180, width=512, height=512)"
ang20190926t223557_r8704_c0_w512_h512,,0.0,ang20190926t223557,/AVIRISNG/Permian2019/ang20190926t223557_r8704_c0_w512_h512,2019-09-26,2019-09-26 22:35:57+00:00,0,0,512,512,train,hard,,False,"Window(col_off=0, row_off=0, width=512, height=512)"
