id,TP_fp32,FP_fp32,FN_fp32,TN_fp32,precision_fp32,recall_fp32,f1_fp32,iou_fp32,TP_int8,FP_int8,FN_int8,TN_int8,precision_int8,recall_int8,f1_int8,iou_int8,pixels_fp32_int8_diferentes,max_diff_logits,mean_diff_logits,max_diff_prob
ang20191018t141549_r19200_c0_w512_h512,0,2825,0,259319,0.0,0.0,0.0,0.0,0,2703,0,259441,0.0,0.0,0.0,0.0,448,6.001591682434082,0.500548243522644,0.5393203496932983
ang20191018t141549_r18688_c0_w512_h512,0,0,0,262144,0.0,0.0,0.0,0.0,0,179,0,261965,0.0,0.0,0.0,0.0,179,9.963972091674805,0.7889350652694702,0.7655178904533386
ang20191018t141549_r11008_c0_w512_h512,0,0,0,262144,0.0,0.0,0.0,0.0,0,0,0,262144,0.0,0.0,0.0,0.0,0,5.688432693481445,0.6090688109397888,0.17330557107925415
ang20191018t141549_r6656_c0_w512_h512,0,258,0,261886,0.0,0.0,0.0,0.0,0,158,0,261986,0.0,0.0,0.0,0.0,184,24.33517837524414,0.6030751466751099,0.41380149126052856
ang20191018t144405_r16384_c256_w512_h512,0,0,0,262144,0.0,0.0,0.0,0.0,0,0,0,262144,0.0,0.0,0.0,0.0,0,5.619006156921387,0.3702749013900757,0.22881510853767395
ang20191018t144405_r15616_c256_w512_h512,0,528,0,261616,0.0,0.0,0.0,0.0,0,754,0,261390,0.0,0.0,0.0,0.0,250,4.737504959106445,0.4435027539730072,0.387498140335083
ang20191018t144405_r12032_c0_w512_h512,0,335,0,261809,0.0,0.0,0.0,0.0,0,419,0,261725,0.0,0.0,0.0,0.0,98,10.702946662902832,0.8167515993118286,0.7454150319099426
ang20191018t144405_r19456_c0_w512_h512,0,643,0,261501,0.0,0.0,0.0,0.0,0,826,0,261318,0.0,0.0,0.0,0.0,229,6.2328338623046875,0.5507113337516785,0.508989691734314
ang20191018t150906_r4352_c0_w512_h512,0,39,0,262105,0.0,0.0,0.0,0.0,0,28,0,262116,0.0,0.0,0.0,0.0,11,55.06334686279297,0.8873971700668335,0.2572548985481262
ang20191018t150906_r1024_c0_w512_h512,0,0,0,262144,0.0,0.0,0.0,0.0,0,11,0,262133,0.0,0.0,0.0,0.0,11,8.562450408935547,0.5456221699714661,0.5472807288169861
ang20191018t150906_r3072_c0_w512_h512,0,84,0,262060,0.0,0.0,0.0,0.0,0,286,0,261858,0.0,0.0,0.0,0.0,224,24.633953094482422,1.118348479270935,0.5623887181282043
ang20191018t150906_r7168_c0_w512_h512,0,0,0,262144,0.0,0.0,0.0,0.0,0,22,0,262122,0.0,0.0,0.0,0.0,22,10.205333709716797,0.8077022433280945,0.5200420618057251
ang20191018t153724_r18688_c0_w512_h512,0,0,0,262144,0.0,0.0,0.0,0.0,0,0,0,262144,0.0,0.0,0.0,0.0,0,9.020927429199219,0.6675699353218079,0.13012224435806274
ang20191018t153724_r18176_c0_w512_h512,0,100,0,262044,0.0,0.0,0.0,0.0,0,101,0,262043,0.0,0.0,0.0,0.0,11,8.380027770996094,0.7419885993003845,0.23690497875213623
ang20191018t153724_r3840_c0_w512_h512,0,32,0,262112,0.0,0.0,0.0,0.0,0,31,0,262113,0.0,0.0,0.0,0.0,1,14.539379119873047,1.2591140270233154,0.16508792340755463
